StudentID,Profile,From,To,Relation,ScientificAdequacy
S20,Mixed,A4,D5,explains,valid
S20,Mixed,A3,D4,modulates,invalid
S20,Mixed,A4,D2,explains,invalid
S21,Sophisticated,A5,D4,explains,valid
S21,Sophisticated,A3,A1,bootstraps,valid
S21,Sophisticated,A1,D1,modulates,valid
S21,Sophisticated,A4,D5,explains,valid
S21,Sophisticated,A4,D2,explains,invalid
S22,Sophisticated,A4,D5,explains,valid
S22,Sophisticated,A5,D4,explains,valid
S22,Sophisticated,A2,D5,influences,valid
S22,Sophisticated,A1,D1,modulates,valid
S22,Sophisticated,A2,D2,confused_with,invalid
S23,Sophisticated,A1,D1,modulates,valid
S23,Sophisticated,A3,A1,bootstraps,valid
S23,Sophisticated,A4,D5,explains,valid
S23,Sophisticated,A2,D5,influences,valid
S23,Sophisticated,A2,D2,confused_with,invalid
S24,Sophisticated,A3,A1,bootstraps,valid
S24,Sophisticated,A1,D1,modulates,valid
S24,Sophisticated,A4,D5,explains,valid
S24,Sophisticated,A5,D4,explains,valid
S24,Sophisticated,A2,D2,confused_with,invalid
S25,Sophisticated,A3,A1,bootstraps,valid
S25,Sophisticated,A5,D4,explains,valid
S25,Sophisticated,A2,D5,influences,valid
S25,Sophisticated,A4,D5,explains,valid
S25,Sophisticated,A5,D1,confused_with,invalid
S26,Sophisticated,A4,D5,explains,valid
S26,Sophisticated,A2,D5,influences,valid
S26,Sophisticated,A3,A1,bootstraps,valid
S26,Sophisticated,A1,D1,modulates,valid
S26,Sophisticated,A3,D4,modulates,invalid
S27,Sophisticated,A4,D5,explains,valid
S27,Sophisticated,A5,D4,explains,valid
S27,Sophisticated,A1,D1,modulates,valid
S27,Sophisticated,A2,D5,influences,valid
S27,Sophisticated,A3,D4,modulates,invalid
S28,Sophisticated,A4,D5,explains,valid
S28,Sophisticated,A5,D4,explains,valid
S28,Sophisticated,A1,D1,modulates,valid
S28,Sophisticated,A2,D5,influences,valid
S28,Sophisticated,A2,D2,confused_with,invalid
S29,Sophisticated,A4,D5,explains,valid
S29,Sophisticated,A1,D1,modulates,valid
S29,Sophisticated,A5,D4,explains,valid
S29,Sophisticated,A3,A1,bootstraps,valid
S29,Sophisticated,A3,D4,modulates,invalid
S30,Sophisticated,A5,D4,explains,valid
S30,Sophisticated,A4,D5,explains,valid
S30,Sophisticated,A2,D5,influences,valid
S30,Sophisticated,A3,A1,bootstraps,valid
S30,Sophisticated,A1,D3,explains,invalid
